@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
162,391,117,42,368,0.102439,0.769685,0.903002,0.769685,0.096998,0.831031,0.471678,1.631803,0.691744
163,390,118,42,368,0.102439,0.767717,0.902778,0.767717,0.097222,0.829787,0.470588,1.631398,0.694333
164,390,118,41,369,0.1,0.767717,0.904872,0.767717,0.095128,0.830671,0.469499,1.635183,0.6975
165,390,118,40,370,0.097561,0.767717,0.906977,0.767717,0.093023,0.831557,0.46841,1.638986,0.7
166,387,121,39,371,0.095122,0.761811,0.908451,0.761811,0.091549,0.828694,0.464052,1.641649,0.705
167,386,122,39,371,0.095122,0.759843,0.908235,0.759843,0.091765,0.827438,0.462963,1.64126,0.707416
168,385,123,39,371,0.095122,0.757874,0.908019,0.757874,0.091981,0.82618,0.461874,1.640869,0.708889
169,384,124,39,371,0.095122,0.755906,0.907801,0.755906,0.092199,0.824919,0.460784,1.640476,0.71
170,376,132,37,373,0.090244,0.740157,0.910412,0.740157,0.089588,0.816504,0.449891,1.645193,0.711
171,375,133,37,373,0.090244,0.738189,0.910194,0.738189,0.089806,0.815217,0.448802,1.6448,0.71125
172,374,134,37,373,0.090244,0.73622,0.909976,0.73622,0.090024,0.813928,0.447712,1.644405,0.713333
173,373,135,37,373,0.090244,0.734252,0.909756,0.734252,0.090244,0.812636,0.446623,1.644008,0.714317
174,372,136,37,373,0.090244,0.732283,0.909535,0.732283,0.090465,0.811341,0.445534,1.643609,0.716
175,372,136,36,374,0.087805,0.732283,0.911765,0.732283,0.088235,0.812227,0.444444,1.647638,0.7185
176,371,137,36,374,0.087805,0.730315,0.911548,0.730315,0.088452,0.810929,0.443355,1.647246,0.72
177,370,138,36,374,0.087805,0.728346,0.91133,0.728346,0.08867,0.809628,0.442266,1.646852,0.728333
178,370,138,35,375,0.085366,0.728346,0.91358,0.728346,0.08642,0.810515,0.441176,1.650919,0.73
179,365,143,34,376,0.082927,0.718504,0.914787,0.718504,0.085213,0.804851,0.434641,1.653099,0.735556
180,364,144,34,376,0.082927,0.716535,0.914573,0.716535,0.085427,0.803532,0.433551,1.652712,0.736
181,363,145,34,376,0.082927,0.714567,0.914358,0.714567,0.085642,0.80221,0.432462,1.652324,0.737105
182,362,146,34,376,0.082927,0.712598,0.914141,0.712598,0.085859,0.800885,0.431373,1.651933,0.74
183,358,150,34,376,0.082927,0.704724,0.913265,0.704724,0.086735,0.795556,0.427015,1.65035,0.75
184,355,153,32,378,0.078049,0.698819,0.917313,0.698819,0.082687,0.793296,0.421569,1.657663,0.755
185,355,153,31,379,0.07561,0.698819,0.919689,0.698819,0.080311,0.794183,0.420479,1.661958,0.756333
186,354,154,31,379,0.07561,0.69685,0.919481,0.69685,0.080519,0.792833,0.41939,1.661581,0.758182
187,353,155,31,379,0.07561,0.694882,0.919271,0.694882,0.080729,0.79148,0.418301,1.661202,0.76
188,348,160,30,380,0.073171,0.685039,0.920635,0.685039,0.079365,0.785553,0.411765,1.663667,0.761948
189,347,161,30,380,0.073171,0.683071,0.920424,0.683071,0.079576,0.784181,0.410675,1.663287,0.76204
190,346,162,30,380,0.073171,0.681102,0.920213,0.681102,0.079787,0.782805,0.409586,1.662904,0.763889
191,345,163,30,380,0.073171,0.679134,0.92,0.679134,0.08,0.781427,0.408497,1.66252,0.768
192,344,164,30,380,0.073171,0.677165,0.919786,0.677165,0.080214,0.780045,0.407407,1.662133,0.769091
193,343,165,30,380,0.073171,0.675197,0.919571,0.675197,0.080429,0.778661,0.406318,1.661745,0.77
194,339,169,28,382,0.068293,0.667323,0.923706,0.667323,0.076294,0.774857,0.399782,1.669216,0.78
195,335,173,28,382,0.068293,0.659449,0.922865,0.659449,0.077135,0.769231,0.395425,1.667697,0.784778
196,334,174,28,382,0.068293,0.65748,0.922652,0.65748,0.077348,0.767816,0.394336,1.667312,0.786167
197,333,175,28,382,0.068293,0.655512,0.922438,0.655512,0.077562,0.766398,0.393246,1.666925,0.79
198,329,179,28,382,0.068293,0.647638,0.921569,0.647638,0.078431,0.760694,0.388889,1.665354,0.7905
199,329,179,27,383,0.065854,0.647638,0.924157,0.647638,0.075843,0.761574,0.3878,1.670032,0.798333
200,328,180,27,383,0.065854,0.645669,0.923944,0.645669,0.076056,0.760139,0.38671,1.669646,0.8
201,323,185,26,384,0.063415,0.635827,0.925501,0.635827,0.074499,0.753792,0.380174,1.672461,0.801417
202,322,186,26,384,0.063415,0.633858,0.925287,0.633858,0.074713,0.752336,0.379085,1.672074,0.807984
203,321,187,26,384,0.063415,0.63189,0.925072,0.63189,0.074928,0.750877,0.377996,1.671685,0.81
204,316,192,25,385,0.060976,0.622047,0.926686,0.622047,0.073314,0.744405,0.37146,1.674602,0.818113
205,315,193,25,385,0.060976,0.620079,0.926471,0.620079,0.073529,0.742925,0.37037,1.674213,0.818182
206,314,194,25,385,0.060976,0.61811,0.926254,0.61811,0.073746,0.74144,0.369281,1.673821,0.818889
207,313,195,25,385,0.060976,0.616142,0.926036,0.616142,0.073964,0.739953,0.368192,1.673426,0.82
208,309,199,25,385,0.060976,0.608268,0.92515,0.608268,0.07485,0.733967,0.363834,1.671826,0.822143
209,308,200,25,385,0.060976,0.606299,0.924925,0.606299,0.075075,0.732461,0.362745,1.671419,0.825181
210,307,201,25,385,0.060976,0.604331,0.924699,0.604331,0.075301,0.730952,0.361656,1.671011,0.825714
211,307,201,24,386,0.058537,0.604331,0.927492,0.604331,0.072508,0.731824,0.360566,1.676059,0.82625
212,306,202,24,386,0.058537,0.602362,0.927273,0.602362,0.072727,0.73031,0.359477,1.675662,0.826667
213,305,203,24,386,0.058537,0.600394,0.927052,0.600394,0.072948,0.728793,0.358388,1.675263,0.827647
214,305,203,23,387,0.056098,0.600394,0.929878,0.600394,0.070122,0.729665,0.357298,1.68037,0.83
215,297,211,22,388,0.053659,0.584646,0.931034,0.584646,0.068966,0.718259,0.347495,1.68246,0.831667
216,296,212,22,388,0.053659,0.582677,0.930818,0.582677,0.069182,0.716707,0.346405,1.682068,0.84
217,291,217,20,390,0.04878,0.572835,0.935691,0.572835,0.064309,0.710623,0.33878,1.690875,0.843235
218,290,218,20,390,0.04878,0.570866,0.935484,0.570866,0.064516,0.709046,0.337691,1.6905,0.848889
219,289,219,20,390,0.04878,0.568898,0.935275,0.568898,0.064725,0.707466,0.336601,1.690123,0.8495
220,288,220,20,390,0.04878,0.566929,0.935065,0.566929,0.064935,0.705882,0.335512,1.689743,0.85
