@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
155,302,108,22,486,0.043307,0.736585,0.932099,0.736585,0.067901,0.822888,0.352941,2.086992,0.49
156,300,110,22,486,0.043307,0.731707,0.931677,0.731707,0.068323,0.819672,0.350763,2.086048,0.5
157,296,114,21,487,0.041339,0.721951,0.933754,0.721951,0.066246,0.814305,0.345316,2.090698,0.5095
158,296,114,20,488,0.03937,0.721951,0.936709,0.721951,0.063291,0.815427,0.344227,2.097314,0.51
159,289,121,20,488,0.03937,0.704878,0.935275,0.704878,0.064725,0.803894,0.336601,2.094104,0.53
160,287,123,20,488,0.03937,0.7,0.934853,0.7,0.065147,0.800558,0.334423,2.09316,0.530683
161,286,124,20,488,0.03937,0.697561,0.934641,0.697561,0.065359,0.798883,0.333333,2.092683,0.54
162,285,125,19,489,0.037402,0.695122,0.9375,0.695122,0.0625,0.798319,0.331155,2.099085,0.5475
163,284,126,19,489,0.037402,0.692683,0.937294,0.692683,0.062706,0.796634,0.330065,2.098624,0.55
164,284,126,18,490,0.035433,0.692683,0.940397,0.692683,0.059603,0.797753,0.328976,2.105573,0.553238
165,283,127,18,490,0.035433,0.690244,0.940199,0.690244,0.059801,0.796062,0.327887,2.105129,0.554286
166,283,127,17,491,0.033465,0.690244,0.943333,0.690244,0.056667,0.797183,0.326797,2.112146,0.56
167,279,131,14,494,0.027559,0.680488,0.952218,0.680488,0.047782,0.793741,0.319172,2.13204,0.5644
168,278,132,14,494,0.027559,0.678049,0.952055,0.678049,0.047945,0.792023,0.318083,2.131674,0.57
169,277,133,14,494,0.027559,0.67561,0.95189,0.67561,0.04811,0.7903,0.316993,2.131305,0.5704
170,276,134,14,494,0.027559,0.673171,0.951724,0.673171,0.048276,0.788571,0.315904,2.130934,0.58
171,273,137,13,495,0.025591,0.665854,0.954545,0.665854,0.045455,0.784483,0.311547,2.137251,0.585758
172,273,137,12,496,0.023622,0.665854,0.957895,0.665854,0.042105,0.785612,0.310458,2.14475,0.59
173,272,138,12,496,0.023622,0.663415,0.957746,0.663415,0.042254,0.783862,0.309368,2.144418,0.591396
174,271,139,12,496,0.023622,0.660976,0.957597,0.660976,0.042403,0.782107,0.308279,2.144083,0.596667
